,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Year
,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,
19,20,Jarron Collins,"Nov 23, '01, UTA vs. LAC",23,10,542,8542,682,1500,0,5,731,1046,645,1579,419,138,98,334,1316,2095,.455,.000,.699,15.8,3.9,2.9,0.8,2002
20,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2002
21,21,Jason Collins,"Oct 31, '01, NJN @ BOS",23,13,735,14974,918,2234,7,34,778,1202,915,2706,626,368,359,605,2056,2621,.411,.206,.647,20.4,3.6,3.7,0.9,2002
22,22,Joe Crispin,"Nov 11, '01, LAL vs. ORL",22,1,21,156,26,68,15,39,12,13,2,11,26,5,0,10,10,79,.382,.385,.923,7.4,3.8,0.5,1.2,2002
23,23,Eddy Curry,"Oct 31, '01, CHI vs. IND",19,11,527,13109,2578,4734,2,2,1662,2588,947,2725,287,155,384,1174,1562,6820,.545,1.000,.642,24.9,12.9,5.2,0.5,2002
24,24,Samuel Dalembert,"Dec 4, '01, PHI @ SAC",20,13,886,21646,2810,5393,1,12,1193,1689,2289,6942,465,437,1546,1271,2601,6814,.521,.083,.706,24.4,7.7,7.8,0.5,2002
25,25,DeSagana Diop,"Oct 30, '01, CLE vs. BOS",20,12,601,8403,503,1177,1,6,178,381,834,2219,270,227,630,355,1219,1185,.427,.167,.467,14.0,2.0,3.7,0.4,2002
26,26,Predrag Drobnjak,"Nov 20, '01, SEA @ DAL",26,4,278,5542,903,2125,66,194,315,394,313,973,225,132,117,242,512,2187,.425,.340,.799,19.9,7.9,3.5,0.8,2002
27,27,Maurice Evans,"Dec 19, '01, MIN @ NJN",23,9,562,10918,1429,3231,426,1172,463,590,559,1384,420,294,88,278,956,3747,.442,.363,.785,19.4,6.7,2.5,0.7,2002
28,28,Isaac Fontaine,"Mar 3, '02, MEM vs. SEA",26,1,6,75,3,14,1,5,4,6,0,5,4,0,0,4,6,11,.214,.200,.667,12.5,1.8,0.8,0.7,2002
29,29,Alton Ford,"Oct 30, '01, PHO vs. DEN",20,3,73,524,70,138,0,0,46,66,35,124,11,6,8,37,115,186,.507,,.697,7.2,2.5,1.7,0.2,2002
30,30,Joseph Forte,"Oct 30, '01, BOS @ CLE",20,2,25,125,11,47,0,6,8,10,5,17,17,6,0,13,7,30,.234,.000,.800,5.0,1.2,0.7,0.7,2002
31,31,Antonis Fotsis,"Nov 9, '01, MEM @ LAL",20,1,28,320,42,104,7,23,17,20,25,62,10,9,11,21,22,108,.404,.304,.850,11.4,3.9,2.2,0.4,2002
32,32,Tremaine Fowlkes,"Feb 23, '02, LAC @ IND",25,4,103,1233,105,257,4,20,87,110,94,228,54,47,6,50,146,301,.409,.200,.791,12.0,2.9,2.2,0.5,2002
33,33,Pau Gasol,"Nov 1, '01, MEM vs. DET",21,18,1226,41001,7980,15729,179,486,4755,6311,3085,11305,3925,606,1941,2638,2632,20894,.507,.368,.753,33.4,17.0,9.2,3.2,2002
